Team_Id;Team;Att_Away_Left_Side;Att_Away_Middle_of_the_pitch;Att_Away_Right_Side;Att_Home_Left_Side;Att_Home_Middle_of_the_pitch;Att_Home_Right_Side;Away_Yellow_Mean;Away_Red_Mean;Home_Yellow_Mean;Home_Red_Mean;Def_Away_ShotsBlocked_pg;Def_Away_Shots_pg;Def_Away_Tackles_pg;Def_Away_Interceptions_pg;Def_Away_Fouls_pg;Def_Away_Offsides_pg;Def_Home_ShotsBlocked_pg;Def_Home_Shots_pg;Def_Home_Tackles_pg;Def_Home_Interceptions_pg;Def_Home_Fouls_pg;Def_Home_Offsides_pg;Offensive_Away_Shots_pg;Offensive_Away_Shots_OT_pg;Offensive_Away_Dribbles_pg;Offensive_Away_Fouled_pg;Offensive_Home_Shots_pg;Offensive_Home_Shots_OT_pg;Offensive_Home_Dribbles_pg;Offensive_Home_Fouled_pg;Away_Caught_Offside;Home_Caught_Offside;ShotSide_Away_Against_Left_Side;ShotSide_Away_Against_Attempts_middle;ShotSide_Away_Against_Right_Side;ShotSide_Away_For_Left_Side;ShotSide_Away_For_Attempts_middle;ShotSide_Away_For_Right_Side;ShotSide_Against_Home_For_Left_Side;ShotSide_Against_Home_Attempts_middle;ShotSide_Against_Home_Right_Side;ShotSide_Home_For_Left_Side;ShotSide_Home_For_Attempts_middle;ShotSide_Home_For_Right_Side;Shot_Zone_Against_In_6_Yards_Box;Shot_Zone_Against_In_18_Yards_Box;Shot_Zone_Against_Outside_of_Box;Shot_Zone_For_In_6_Yards_Box;Shot_Zone_For_In_18_Yards_Box;Shot_Zone_For_Outside_of_Box;Goals_Away;Away_Shots_pg;Away_Possession%;Away_Pass%;Away_AerialsWon;Away_General_Rating;Away_red_card;Away_yellow_card;Goals_Home;Home_Shots_pg;Home_Possession%;Home_Pass%;Home_AerialsWon;Home_General_Rating;Home_red_card;Home_yellow_card
1;Lecce;0.41;0.23;0.36;0.4;0.25;0.35;2.7;0.3;2.3;0.0;3.5;15.7;15.7;9.6;14.2;1.0;2.4;11.6;16.4;7.9;12.8;2.2;11.5;3.3;7.5;12.3;15.1;4.5;8.0;13.7;1.0;2.2;0.15;0.7;0.16;0.2;0.64;0.16;0.12;0.69;0.2;0.24;0.61;0.15;0.08;0.56;0.36;0.04;0.52;0.44;11.0;11.5;41.4;77.1;13.8;6.42;4.0;40.0;15.0;15.1;45.8;79.1;14.3;6.5;0.0;32.0
2;Atalanta;0.41;0.23;0.36;0.39;0.24;0.37;2.7;0.0;1.5;0.1;3.4;13.3;16.8;10.1;13.9;1.4;2.9;10.6;15.4;8.6;11.3;1.8;11.1;3.9;7.4;9.6;16.7;6.8;7.5;9.7;1.4;1.8;0.28;0.58;0.14;0.15;0.71;0.15;0.14;0.67;0.19;0.15;0.74;0.11;0.04;0.49;0.46;0.07;0.64;0.28;20.0;11.1;48.4;80.9;15.4;6.58;0.0;38.0;31.0;16.7;52.2;83.1;17.9;6.87;1.0;21.0
3;Empoli;0.41;0.23;0.36;0.41;0.24;0.35;2.4;0.0;2.2;0.0;3.3;15.8;18.8;7.0;12.9;2.1;4.4;14.3;14.1;6.7;13.7;2.1;10.6;2.9;5.8;13.0;12.4;3.7;6.3;13.5;2.1;2.1;0.17;0.69;0.14;0.18;0.67;0.15;0.23;0.62;0.14;0.2;0.68;0.12;0.06;0.56;0.37;0.05;0.56;0.39;13.0;10.6;44.6;80.1;14.2;6.48;0.0;33.0;9.0;12.4;44.2;77.9;11.6;6.43;0.0;33.0
4;Lazio;0.4;0.28;0.32;0.42;0.23;0.35;2.7;0.1;2.4;0.3;4.4;15.7;15.7;7.0;12.1;1.6;2.3;10.3;14.7;8.2;11.6;1.7;11.7;3.7;7.1;10.9;11.1;3.5;7.7;12.4;1.6;1.7;0.19;0.68;0.13;0.17;0.65;0.18;0.15;0.69;0.15;0.17;0.72;0.11;0.08;0.55;0.38;0.09;0.53;0.38;22.0;11.7;52.2;84.4;10.5;6.57;1.0;40.0;14.0;11.1;51.2;84.8;10.6;6.54;4.0;33.0
5;Fiorentina;0.39;0.28;0.33;0.37;0.3;0.33;2.7;0.0;1.6;0.0;2.5;11.2;14.4;6.0;13.0;1.4;2.4;9.1;17.1;6.5;12.4;1.4;11.7;4.0;6.7;10.6;15.2;5.0;7.5;12.9;1.4;1.4;0.13;0.64;0.22;0.19;0.66;0.15;0.13;0.69;0.18;0.14;0.7;0.16;0.07;0.68;0.25;0.07;0.57;0.36;15.0;11.7;56.0;83.2;15.5;6.52;0.0;38.0;26.0;15.2;57.0;83.0;16.9;6.7;0.0;23.0
6;Inter;0.39;0.27;0.33;0.4;0.27;0.33;1.6;0.0;1.1;0.0;3.4;11.4;14.3;7.8;11.4;1.6;2.5;8.7;14.7;7.5;10.3;1.6;12.9;4.9;4.8;10.5;17.6;6.1;5.8;10.8;1.6;1.6;0.19;0.63;0.19;0.13;0.74;0.13;0.25;0.57;0.17;0.15;0.72;0.13;0.06;0.59;0.35;0.12;0.57;0.31;34.0;12.9;53.2;85.8;15.1;6.88;0.0;22.0;36.0;17.6;58.2;88.3;13.6;6.91;0.0;16.0
7;Juventus;0.39;0.27;0.34;0.4;0.26;0.35;2.6;0.0;1.9;0.1;4.1;13.6;15.4;6.9;12.0;2.1;1.9;9.2;15.3;7.1;12.5;1.8;13.4;3.9;6.9;9.8;15.4;4.3;7.3;9.7;2.1;1.8;0.19;0.65;0.16;0.22;0.56;0.21;0.15;0.64;0.2;0.21;0.65;0.14;0.06;0.43;0.5;0.1;0.57;0.34;22.0;13.4;47.7;83.6;13.3;6.7;0.0;37.0;22.0;15.3;47.9;84.0;13.6;6.71;1.0;27.0
8;Monza;0.39;0.26;0.36;0.36;0.25;0.39;2.2;0.1;2.1;0.1;5.1;16.9;16.4;7.9;12.0;1.3;3.2;12.7;14.9;7.1;11.7;1.1;11.7;3.9;4.8;9.4;13.1;3.6;5.5;11.9;1.3;1.1;0.19;0.69;0.12;0.18;0.61;0.21;0.21;0.69;0.1;0.18;0.66;0.16;0.05;0.59;0.36;0.07;0.55;0.39;14.0;11.7;53.3;85.6;11.8;6.55;2.0;31.0;18.0;13.1;55.2;86.0;10.7;6.56;1.0;31.0
9;Bologna;0.38;0.23;0.39;0.39;0.23;0.38;2.4;0.1;2.2;0.0;3.6;11.8;16.4;7.6;12.5;1.2;2.3;9.7;16.8;6.1;12.0;1.5;11.4;4.6;7.1;12.7;14.0;4.4;8.7;10.7;1.2;1.5;0.18;0.66;0.16;0.2;0.59;0.21;0.19;0.63;0.18;0.25;0.53;0.23;0.07;0.5;0.43;0.04;0.61;0.35;16.0;11.4;56.5;86.4;12.2;6.54;1.0;34.0;26.0;14.0;59.0;85.8;11.1;6.74;0.0;33.0
10;Cagliari;0.37;0.24;0.39;0.35;0.27;0.38;2.1;0.1;1.6;0.1;4.0;15.1;14.3;7.4;12.3;1.2;2.3;11.4;13.7;7.0;12.3;1.9;9.5;2.5;5.2;10.3;14.4;4.6;7.2;10.6;1.2;1.9;0.17;0.65;0.19;0.15;0.68;0.17;0.09;0.69;0.22;0.15;0.7;0.15;0.1;0.62;0.28;0.1;0.55;0.35;9.0;9.5;42.6;76.8;15.0;6.35;2.0;31.0;20.0;14.4;41.9;76.3;14.6;6.51;2.0;23.0
